epoch,pr0,rc0,pr1,rc1,f1,pr0_graph,rc0_graph,pr1_graph,rc1_graph,f1_graph,success_rate,total_loss,loss_n,reg_loss
80,0.96309,0.79608,0.25663,0.69770,0.37523,0.25166,0.43949,0.90586,0.80495,0.85243,54.31373,0.03240,0.02329,0.00911
81,0.96319,0.79676,0.25742,0.69823,0.37615,0.25199,0.43919,0.90586,0.80542,0.85269,52.35294,0.03229,0.02327,0.00902
82,0.96328,0.79741,0.25819,0.69880,0.37705,0.25230,0.43878,0.90585,0.80592,0.85297,52.35294,0.03222,0.02329,0.00893
83,0.96337,0.79806,0.25894,0.69933,0.37794,0.25267,0.43850,0.90586,0.80642,0.85325,53.33333,0.03206,0.02322,0.00884
84,0.96347,0.79869,0.25969,0.69990,0.37882,0.25291,0.43800,0.90583,0.80689,0.85351,53.52941,0.03187,0.02311,0.00876
85,0.96357,0.79931,0.26044,0.70049,0.37970,0.25328,0.43773,0.90585,0.80739,0.85379,54.31373,0.03169,0.02302,0.00867
86,0.96365,0.79994,0.26119,0.70100,0.38057,0.25379,0.43791,0.90592,0.80782,0.85406,53.33333,0.03164,0.02305,0.00859
87,0.96374,0.80056,0.26192,0.70151,0.38142,0.25414,0.43765,0.90593,0.80830,0.85433,54.11765,0.03152,0.02301,0.00851
88,0.96382,0.80118,0.26265,0.70198,0.38226,0.25458,0.43761,0.90597,0.80876,0.85461,54.11765,0.03135,0.02292,0.00843
89,0.96391,0.80176,0.26336,0.70248,0.38309,0.25489,0.43736,0.90598,0.80918,0.85485,53.72549,0.03130,0.02295,0.00835
90,0.96399,0.80235,0.26406,0.70294,0.38389,0.25530,0.43732,0.90602,0.80961,0.85510,54.50980,0.03122,0.02294,0.00828
91,0.96406,0.80294,0.26476,0.70336,0.38470,0.25568,0.43728,0.90605,0.80999,0.85533,54.11765,0.03115,0.02295,0.00820
92,0.96414,0.80353,0.26544,0.70376,0.38548,0.25593,0.43714,0.90606,0.81031,0.85552,55.49020,0.03087,0.02275,0.00812
93,0.96421,0.80410,0.26613,0.70419,0.38627,0.25630,0.43741,0.90613,0.81056,0.85569,54.50980,0.03083,0.02278,0.00805
94,0.96429,0.80465,0.26680,0.70462,0.38704,0.25672,0.43738,0.90617,0.81099,0.85594,55.88235,0.03060,0.02262,0.00798
95,0.96435,0.80519,0.26744,0.70499,0.38777,0.25706,0.43754,0.90622,0.81126,0.85611,55.09804,0.03057,0.02266,0.00791
96,0.96442,0.80576,0.26810,0.70534,0.38851,0.25744,0.43779,0.90629,0.81152,0.85629,54.31373,0.03052,0.02267,0.00784
97,0.96448,0.80629,0.26873,0.70568,0.38923,0.25786,0.43824,0.90638,0.81175,0.85646,54.90196,0.03037,0.02260,0.00777
98,0.96455,0.80681,0.26937,0.70607,0.38995,0.25828,0.43858,0.90646,0.81201,0.85664,55.88235,0.03033,0.02262,0.00771
99,0.96461,0.80733,0.26999,0.70643,0.39067,0.25874,0.43900,0.90655,0.81227,0.85683,55.49020,0.03022,0.02258,0.00764
100,0.96468,0.80784,0.27062,0.70678,0.39137,0.25922,0.43952,0.90665,0.81253,0.85701,54.90196,0.03013,0.02256,0.00757
101,0.96473,0.80835,0.27123,0.70709,0.39206,0.25955,0.43983,0.90672,0.81271,0.85714,54.70588,0.02995,0.02245,0.00751
102,0.96480,0.80886,0.27184,0.70743,0.39276,0.25998,0.44033,0.90681,0.81292,0.85730,55.09804,0.02986,0.02242,0.00744
103,0.96485,0.80936,0.27244,0.70774,0.39343,0.26045,0.44090,0.90692,0.81313,0.85747,56.47059,0.02974,0.02236,0.00738
104,0.96492,0.80985,0.27306,0.70810,0.39412,0.26096,0.44147,0.90703,0.81338,0.85766,56.07843,0.02961,0.02229,0.00732
105,0.96497,0.81033,0.27364,0.70840,0.39478,0.26142,0.44184,0.90712,0.81367,0.85786,55.88235,0.02958,0.02232,0.00726
